Job Name,Company Name,Salary,Description,Welfare
網路管理工程師,聚贏有限公司,"月薪40,000~80,000元","我們在尋找【具備團隊合作精神、勇於接受挑戰、熱愛學習】的網路管理工程師，負責規劃和組職主機網路架構，確保網路順暢和安全並與團隊合作完成產品開發。這裡有高度自由的辦公環境，期待值得信賴、積極學習的你加入，與我們一起解決複雜且有趣的技術挑戰，推動創新的產品開發！

<工作內容>

1. 規劃和組織主機網路架構，確保網路順暢和安全。
2. 實施網路安全防護措施，防範未經授權的訪問和潛在威脅。
3. 管理和監控數千台位於不同 IDC 的主機（VPS、VDS），確保其穩定運行。
4. 執行系統建置、更新，以及生產環境的部署和維護。
5. 設置和維護主機監控系統，及時發現並解決潛在問題。
6. 管理公司內部主機，確保內部系統的正常運作。

<必要條件>

1. 具備對網路的基本觀念與認識（Gateway、DNS、Domain、IP、Proxy、VPN ）。
2. 具備網路安全、資訊設備環境設定、伺服器網站管理維護等技能。
3. 具備架設Nginx伺服器實務經驗（如 安全性設定、代理設定、負載平衡、緩存）。
4. 熟悉 Linux、Shell 、Firewalll、Vmware 等工具的操作與維護。
5. 有容器技術（如 Docker, Kubernetes）的實務工作經歷。
6. 具備良好的問題解決能力和團隊合作精神。

<加分條件>

1. 具數位行銷經驗者優先，如 SEO、流量創建、轉換優化、A/B 測試等。
2. 有 Python 相關實作經驗。
3. 熟悉 CI/CD流程和工具，具備自動化實務經驗。
4. 對人工智慧技術充滿熱情，積極學習並緊跟行業趨勢。","◆ 薪資、獎金
1.優於同業薪資待遇
2.各式獎金(年終、三節、生日...)

◆ 休閒、福利
1.彈性上下班時間
2.優於勞基法特休
3.員工進修補助
4.不定期活動、聚餐、下午茶
5.零食櫃、飲料、咖啡
6.國內外員工旅遊"
後端工程師,聚贏有限公司,"月薪40,000~100,000元","我們在尋找【具備團隊合作精神、勇於接受挑戰、熱愛學習】的後端工程師，負責開發後端數據庫系統、優化公司產品並與團隊合作完成產品開發。這裡有高度自由的辦公環境，期待值得信賴、積極學習的你加入，與我們一起解決複雜且有趣的技術挑戰，推動創新的產品開發！

<工作內容>

1. VPN / 代理服務器產品後端開發。
2. 數據資料庫建置與優化處理。
3. 與前端協作開發，優化資料傳遞與資料蒐集處理。
4. 負責公司內部產品流程協作、優化和性能調整。
5. 負責公司專案的升級與開發需求建置。
6. 負責產品系統安全性管理，包含部署與監控、資料備份與還原、日誌分析等項目。

<必要條件>

1. 有PHP和Laravel開發工作兩年以上經歷。
2. 具備 SQL / NoSQL 資料庫的實務經驗（如 MySQL、PostgreSQL、Redis、MongoDB）。
3. 具備架設Nginx伺服器實務經驗（如 安全性設定、代理設定、負載平衡、緩存）。
4. 具備Node.js的開發實務經驗。
5. 熟悉 Linux 系統操作。
6. 有容器技術（如 Docker, Kubernetes）的實務工作經歷。
7. 具備良好的問題解決能力和團隊合作精神。

<加分條件>

1. 具數位行銷經驗者優先，如 SEO、流量創建、轉換優化、A/B 測試等。
2. 具前端技術的實務經驗，如 HTML5、CSS3、JavaScript (ES6+) 及現代 JavaScript 框架（如 React、Vue.js）。
3. 有APP開發經驗者佳。
4. 有 Python 相關實作經驗。
5. 熟悉 CI/CD流程和工具，具備自動化實務經驗。
6. 對人工智慧技術充滿熱情，積極學習並緊跟行業趨勢。","◆ 薪資、獎金
1.優於同業薪資待遇
2.各式獎金(年終、三節、生日...)

◆ 休閒、福利
1.彈性上下班時間
2.優於勞基法特休
3.員工進修補助
4.不定期活動、聚餐、下午茶
5.零食櫃、飲料、咖啡
6.國內外員工旅遊"
資訊工程師,佑民醫療社團法人佑民醫院,"月薪32,500~45,300元","1.協助電腦與週邊各項故障排除。
2.使用單位之資訊訓練及線上服務。 
3.醫療資訊系統維護(HIS、PACS、資訊作業流程改善)。
4.企業網路架設與管理。 
5.電腦主機系統監控及維護。
6.協助單位設計統計資料與報表。
7.其他主管交辦事項。
","佑民醫療社團法人佑民醫院的福利有 

1.保險: 本院員工享有勞保、健保與團保。 
2.獎金: 中秋、端午及年終等三節獎金。 
3.體檢: 每年免費生日體檢。 
4.退休金: 享勞基法規定提撥6%退休金。 (適用勞基法員工)
5.員工互助委員會: 舉辦各項旅遊、節慶禮品、生日禮金及各項 福利補助，如結婚、生育、旅遊、住院及喪葬慰問金等 
補助金。 
6.醫療: 凡本院員工及其一等直系眷屬至本院就醫等均享有優待折扣。 
7.教育訓練: 依進修規章享院內或院外教育訓 練。 
8.公會費及執照規費: 享醫院補助執業執照規費及醫技人員公會常年會費。 
9.制服: 依醫院規定, 須穿著制服部門。 
10.休假: 依照勞基法 
11.住宿交通:具備員工宿舍及員工停車場。"
資訊工程師,臺北榮民總醫院,"月薪60,000元以上","1.應用系統開發及維護。
2.程式撰寫，熟悉 Java 或 .Net 及 SQL 為佳。
3.其他交辦事項。",
醫學資訊室臨床資訊組程式設計師#6256,三軍總醫院附設民眾診療服務處_人事室,"月薪40,410~45,380元","工作待遇僅說明每月固定薪給,獎金另計",
總院 資訊部 助理程式師(約聘),國泰醫療財團法人國泰綜合醫院,"月薪40,200元","1.醫療資訊系統維護與撰寫
2.醫療資訊相關系統軟體研發
                 ","本院正職員工享有健全福利制度
1.提供完善的在職教育訓練及國內外各項研習、進修課程機會
2.享有勞保、健保、團保(含眷屬) 
3.年終獎金、端午代金、中秋代金、婚喪禮金
4.子女教育補助費、國內外旅遊補助及康樂社團活動等
5.年終餐會補助、生日贈點商品
6.關係企業商品優惠、企業購屋優惠、企業員工房貸優惠及企業壽險保費優惠
7.員工及眷屬、退休員工就醫優待
8.午餐或晚餐便當費用補助
9.定點交通車接駁服務
10.員工托兒及托嬰服務"
資訊部後端工程師,醫療財團法人辜公亮基金會和信治癌中心醫院,"月薪38,000~60,000元","工作內容:
1.	開發和維護醫療資訊系統。
2.	與使用單位溝通並設計資訊流程。
3.	協助系統測試。
4.	協助處理線上使用者問題。
5.	配合醫院輪值班

任職需求：
1.	熟悉至少一種後端語言，如C#, Python, Node.js等。
2.	熟悉資料庫管理系統（例如 Oracle, Postgre, Mongo, Kafka）。
3.	瞭解API設計和開發，例如 RESTful API。
4.	對資料結構和算法有深厚的理解。

優先考慮：
1.	熟悉微服務架構。
2.	熟悉容器相關技術（Docker、Nginx、Kubernetes）
3.	經驗於雲服務平台上工作，如 Azure, Google Cloud 等。
4.	熟悉CI/CD流程和工具，如 Jenkins, Travis CI 等。
5.	具有敏捷開發和測試驅動開發的經驗。
6.	解決問題的能力，並能有效地進行故障排查和問題解決。

工作遠景：
1.	歡迎已擅長後端想跨到全端開發者（React、Vue、Angular）
2.	參與整合Azure OpenAI服務到醫療資訊系統


意者請將履歷E-mail：flower@kfsyscc.org 王專案經理


歡迎一般求職者、身心障礙者、僑生 、 外籍人士 、 原住民、 新住民 、 二度就業 、 中壯齡 、 中高齡 、 高齡投遞履歷。

","獎金福利：年節獎金、生日禮金。
休假福利：陪產假、產假、育嬰假、生理假、產檢假、安胎假、家庭照顧假。
保險福利：勞保、健保、勞退、團保、員工體檢、員工撫恤、因公出國保險、住院慰問金。
餐飲福利：員工免費午餐。
衣著福利：員工制服(一線工作人員)。
居住福利：員工宿舍(輪三班及值夜班人員優先申請)。
交通福利：員工停車位(按相關辦法辦理)。
娛樂福利：員工健身房、旅遊補助、部門活動。
補助福利：員工結婚補助、生育補助、員工在職教育訓練、社團補助、員工國內、外進修補 
                    助、員工及眷屬喪葬補助。
醫療福利：員工本人、配偶、子女、父母、配偶父母、退休員工皆有醫療優待。
健康檢查：每年免費一次健檢、眷屬健檢優待。"
資訊部前端工程師,醫療財團法人辜公亮基金會和信治癌中心醫院,"月薪38,000~60,000元","工作內容:
1.開發和維護醫療資訊系統。
2.與使用單位溝通並設計使用者界面。
3.協助系統測試。
4.協助處理線上使用者問題。
5.配合醫院輪值班

任職需求：
1. 擅長邏輯思考，學習新東西。
2. 樂於團隊合作，與人溝通。
3. 熟悉前端框架 :React、Vue、Angular者。
4. 熟悉 HTTP API 使用。
5. 熟悉 git 版本控制工具。

工作遠景：
1.歡迎已擅長前端想跨到全端開發者（Python、Nodejs）
2.學習容器相關技術（Docker、Nginx、Kubernetes）
3.參與整合Azure OpenAI服務到醫療資訊系統

意者請將履歷E-mail：flower@kfsyscc.org 王專案經理

歡迎一般求職者、身心障礙者、僑生 、 外籍人士 、 原住民、 新住民 、 二度就業 、 中壯齡 、 中高齡 、 高齡投遞履歷。

","獎金福利：年節獎金、生日禮金。
休假福利：陪產假、產假、育嬰假、生理假、產檢假、安胎假、家庭照顧假。
保險福利：勞保、健保、勞退、團保、員工體檢、員工撫恤、因公出國保險、住院慰問金。
餐飲福利：員工免費午餐。
衣著福利：員工制服(一線工作人員)。
居住福利：員工宿舍(輪三班及值夜班人員優先申請)。
交通福利：員工停車位(按相關辦法辦理)。
娛樂福利：員工健身房、旅遊補助、部門活動。
補助福利：員工結婚補助、生育補助、員工在職教育訓練、社團補助、員工國內、外進修補 
                    助、員工及眷屬喪葬補助。
醫療福利：員工本人、配偶、子女、父母、配偶父母、退休員工皆有醫療優待。
健康檢查：每年免費一次健檢、眷屬健檢優待。"
總院 資訊部  程式師(網路工程師),國泰醫療財團法人國泰綜合醫院,"月薪45,600元以上","1. 網路資安設備（Firewall、WAF、Router、Switch）管理/維護/障礙排除
2. 無線網路設備（Ruckus等）管理/維護/障礙排除
3. 網路可靠度監測系統管理/維護
4. 其他與網路架設相關之工作項目
5. 支援分院建置維運網路設備
6. 協助電腦設備故障排除



                 ","本院正職員工享有健全福利制度
1.提供完善的在職教育訓練及國內外各項研習、進修課程機會
2.享有勞保、健保、團保(含眷屬) 
3.年終獎金、端午代金、中秋代金、婚喪禮金
4.子女教育補助費、國內外旅遊補助及康樂社團活動等
5.年終餐會補助、生日贈點商品
6.關係企業商品優惠、企業購屋優惠、企業員工房貸優惠及企業壽險保費優惠
7.員工及眷屬、退休員工就醫優待
8.午餐或晚餐便當費用補助
9.定點交通車接駁服務
10.員工托兒及托嬰服務"
總院 資訊部  約聘助理程式師(系統維護/操作人員),國泰醫療財團法人國泰綜合醫院,"月薪40,200元","●電腦及印表機設備安裝與維修。
●系統與網路設備監控及維護。
●文件製作。



                 ","本院正職員工享有健全福利制度
1.提供完善的在職教育訓練及國內外各項研習、進修課程機會
2.享有勞保、健保、團保(含眷屬) 
3.年終獎金、端午代金、中秋代金、婚喪禮金
4.子女教育補助費、國內外旅遊補助及康樂社團活動等
5.年終餐會補助、生日贈點商品
6.關係企業商品優惠、企業購屋優惠、企業員工房貸優惠及企業壽險保費優惠
7.員工及眷屬、退休員工就醫優待
8.午餐或晚餐便當費用補助
9.定點交通車接駁服務
10.員工托兒及托嬰服務"
