Job Name,Company Name,Salary,Description,Welfare
MIS 工程師｜營養師輕食 創立 10 年,營養師輕食_我的輕食有限公司,"月薪35,000~45,000元","內部任務：

1. 處理公司內部 MIS 相關系統的日常問題

2. 能使用 Python，整合銷售相關數據，並將數據可視化，與協助行銷策略制定與優化

3. 開發公司內部應用軟體，或者透過串接第三方服務，來提升團隊營運效率

對外溝通：

1. 與系統廠商及網站廠商對接

2. 追蹤開發進度，測試功能並回報異常，確保交付品質符合需求

技能需求：

Python、MIS 系統管理、HTML、CSS、JavaScript 基礎知識、Google Workspace

【 公司環境 】

《 營養師輕食 》由江欣樺營養師創立 10 年，專注於，解決台灣保健食品的社會問題，《 台灣 01 益生菌 》突破 1 億熱銷金額，全台 momo、屈臣氏銷售冠軍，目前 LINE 好友人數突破 50 萬人，且與 Google、FB 官方皆有深度合作，是台灣保健的領導品牌

2024 年江欣樺榮獲弘光大學第 18 屆傑出校友，至今，全球勇奪 65 項認證

如果，你只是通用型履歷，建議不要浪費彼此時間，我們需要的是客製化履歷，需要看到的是你的積極，來這裡互相協助、互相成就

【 公司制度 】

● 勞保、健保、特休假、 產假、陪產假
● 團體保險
● 休假制度：週休二日，依法規見紅就休
● 員工在職教育訓練

【 公司福利 】

● 員工旅遊（ 1 年 2 次，2025 年創業 10 年之際，預計前往日本兩次 ）
● 春酒抽獎（ 獎品豐富，PS5、任天堂、Dyson、Apple 系列等等 )
● 每月活動（ 每月在上班期間，舉辦 1 日戶外活動 ）
● 享不定期歡樂會、生日同樂餐、聖誕派對（ 均在上班時間內舉辦 ）
● 專屬員購商品優惠
● 年終（ 工作 1 年以上夥伴，年終發放 1 ~ 10 個月不等，優於大多高雄公司 ）
● 員工健康檢查（ 優於法規勞工體檢方案 ）
● 咖啡、各式零食
● 人才培訓（ 黑力集客大師班、黃道育 GA4 課程、孟令強 SEO 課程 ）
● 薪轉戶：中國信託，跨行轉帳、跨行提款（ 合計共 10 次免費，優於大多高雄公司 ）

我們是台灣極少數，每月舉辦活動的公司，我們非常重視你的精神生活，只要你的能力，能獲得所有小夥伴的認可，我相信，《 營養師輕食 》將是你在高雄的第一選擇

【 品牌資訊 】

營養師輕食｜江欣樺營養師創立 10 年 全球勇奪 65 項認證

民視新聞
https://www.ftvnews.com.tw/news/detail/2024C02W0220 

Facebook
https://www.facebook.com/dietician.tw

抖音
https://www.tiktok.com/@dietician_tw?_t=8nxHl5U81W4&_r=1

官網
https://www.dietician.com.tw/

請研究好以上資訊，告訴我們，你能幫忙什麼？把「客制化履歷」寄到 whale7274@gmail.com，如有合適的，我們會盡快與你聯繫，期待你加入創新、朝氣、有發展性的營養師團隊，謝謝！","【 公司制度 】

● 勞保、健保、特休假、 產假、陪產假
● 團體保險
● 休假制度：週休二日，依法規見紅就休
● 員工在職教育訓練

【 公司福利 】

● 員工旅遊（ 1 年 2 次，2025 年創業 10 年之際，預計前往日本兩次 ）
● 春酒抽獎（ 獎品豐富，PS5、任天堂、Dyson、Apple 系列等等 )
● 每月活動（ 每月在上班期間，舉辦 1 日戶外活動 ）
● 享不定期歡樂會、生日同樂餐、聖誕派對（ 均在上班時間內舉辦 ）
● 專屬員購商品優惠
● 年終（ 工作 1 年以上夥伴，年終發放 1 ~ 10 個月不等，優於大多高雄公司 ）
● 員工健康檢查（ 優於法規勞工體檢方案 ）
● 咖啡、各式零食
● 人才培訓（ 黑力集客大師班、黃道育 GA4 課程、孟令強 SEO 課程 ）
● 薪轉戶：中國信託，跨行轉帳、跨行提款（ 合計共 10 次免費，優於大多高雄公司 ）

我們是台灣極少數，每月舉辦活動的公司，我們非常重視你的精神生活，只要你的能力，能獲得所有小夥伴的認可，我相信，《 營養師輕食 》將是你在高雄的第一選擇"
Python 後端軟體工程師,沐恩生醫光電股份有限公司,待遇面議,"1. 設計 AI 相關應用的架構及流程
2. 以 python 開發 Web Application 及 Desktop Application
3. 維護既有產品以及內部套件
4. 撰寫軟體測試","◆ 獎金/禮品類
	1.年終獎金
        2.績效獎金
◆ 保險類
	1.勞工保險、全民健保
◆ 休閒類
	1.國內旅遊
	2.國外旅遊
◆ 請/休假制度
	1.週休二日
	2.特休/年假"
前端工程師,沐恩生醫光電股份有限公司,待遇面議,"1. 參與開發 AI 產品
2. 以簡易網頁應用 (Web Application) 呈現 AI 專案成果，例如影像辨識、聊天機器人、以圖搜圖等
3. 針對 AI 應用性質設計呈現的介面

必要項目:
1. 熟悉 HTML, CSS, 與 Javascript 或是任何一種 JS 框架
2. 具開發前後端分離式的網站與串接 RESTful API 經驗
2. 熟悉 Git 指令與流程
3. 樂於溝通與團隊合作，並有獨立開發及解決問題能力

加分項目:
1. 對人工智慧或Deep Learning有興趣者尤佳
2. 了解AI的基本演算法
3. 有使用 DICOM 的網頁插件經驗","◆ 獎金/禮品類
	1.年終獎金
        2.績效獎金
◆ 保險類
	1.勞工保險、全民健保
◆ 休閒類
	1.國內旅遊
	2.國外旅遊
◆ 請/休假制度
	1.週休二日
	2.特休/年假"
【資管組】硬體工程師（日常維運）,東元醫療社團法人東元綜合醫院,"月薪36,000~62,000元","1.資訊系統、資訊設備安裝與環境測試。
2.網路系統安裝與配置及後續校能監控。
3.巡檢資訊機房設備確認狀態及異常通報。
4.資/通訊設備管理。
5.其他主管交辦事項。","(一)享有員工健康檢查。
(二)員工及其眷屬享有醫療優待。
(三)設有員工宿舍。
(四)院內外各項在職訓練及學術研討會。
(五)各項節慶活動辦理，如護師節、醫師節、旺年會、家庭日….等。
(六)員工旅遊補助。
(七)婚喪賀奠補助。
(八)三節獎金。
(九)生日禮金。
(十)享有本院特約商店之折扣優待
(十一)設有圖書館供書籍之借閱及代購書籍….等。
(十二)在職進修設有公假及公費補助。
(十三)其他福利(適用對象及申請條件依醫院規則)：
1.假日津貼
2.租屋補助
3.留任簽約金
4.留任獎金
5.揪團獎金
6.推薦獎金
7.人才培育獎金"
【行銷處】數據分析主管-台北,聖宜醫美集團_聖宜診所,待遇面議,"【我們需要您負責...】
√ 營運銷售策略(營運業績、活動數據成效分析、執行、優化)
√ 檔期套組目標、規劃成本控管、成效檢視
√ 市場資訊統整、分析、建立競品資料庫
√ 回客經營策略活動提案、執行(CRM、茶會活動)
√ 店頭行銷策略(療程銷售活動(銷售激勵活動)、銷售目標設定(特定品項銷售稽核、達成情況)
√ 服務品質管理
√ 其他主管交辦事項

【我們希望您擁有的...】
☆ 熟悉數據分析，擅長Excel (數據統整，樞紐..)，PTT
☆ 了解CRM系統及分析解讀CRM 數字
☆ 會使用Tableau 或FineBI等分析軟體
☆ 產品服務整體策略規劃能力與協助執行
☆ 客戶資料收集、數據分析與關係行銷
☆ 善邏輯思考，具資料分析與簡報能力
☆ 行銷能力與經驗
☆ 對市場動態敏銳度高
☆ 熟悉或熱愛醫學美容產業，喜歡與人互動
☆ 具學界相關經驗佳
☆ 可獨立作業，企圖心強，喜歡接受挑戰及新奇事物
☆ 溝通及組織能力佳，做事重視細節
","現場診所與辦公室之正式人員福利制度如下：

★設備類：舒適辦公環境、員工休憩室、茶水間、站前/忠孝/中壢/桃園館 提供員工宿舍（僅提供居住中南部人員以及各館、總公司訓練、支援、出差住宿；住宿申請需依照管理處安排）
★獎金類：全勤獎金、員工生日禮金、恩惠性年終獎金（已領設計獎金者無年終獎金）、中秋禮金、端午禮金、激勵獎金、櫃台/護理師另有久任簽約金（詳細依系統公告為準）。
★娛樂類：國外旅遊、員工每季聚餐、春酒、中秋烤肉活動、特約商店。
★補助類：員工結婚補助、員工及眷屬喪葬補助、支援津貼補助。
★其他：館內提供員工制服、提供員工完整職前與在職教育訓練、良好升遷制度、公務機話費補助、下午茶區免費享用零食與點心、咖啡。
★勞保、健保 、勞退(雇主提撥6%)
★定期員工健康檢查。
★刀房護理師加班費優於勞基法。
★操作獎金、個人業績達成獎金、團體獎金。
★其他未詳列項目依照勞基法。
★醫師另有相關規範。

上班時間：
辦公室週休二日（上班時間09:00~18:00）、診所月排休（上班時間12:00~21:00）月休8~10天；台中館（早班10:30~19:30；午班12:00~21:00）、新竹館（早班09:30~18:30；午班12:00~21:00）、中壢館需輪班（早班10:30~19:30；午班12:00~21:00），實際時間以職缺內容為準，其他館預計逐步跟進分早午班。"
萬華總院-MIS管理師/網路工程師,財團法人台北市私立愛愛院,"月薪60,000元以上","1. 系統管理與維護
       負責 Linux/Windows 伺服器的日常管理與維護工作，包括系統安裝、配置、升級、監. 
       控以及故障排除。確保系統安全、穩定運行。

2. 網絡安全管理
       加強 Linux/Windows 伺服器的安全性，包括設置防火牆、偵測和防範入侵,以及進.     
       行安全漏洞掃描和修補。

3. 資料備份與災難恢復：
        規劃並實施數據備份策略，確保資料的完整性和可靠性。同時制定並測試災難恢復. 
        計劃。

4. 系統監控與效能優化 
        使用各種工具監控系統性能，定期進行效能分析和優化，以提高系統效率和響應速. 
        度。

5. 新建案弱電規劃
	參與新建案的弱電系統規劃，提供技術支持並確保與現有系統兼容。
	確保弱電系統的穩定運作，協助優化設計。

6. 技術支持與諮詢
        為團隊提供技術支持，解決複雜的系統問題，同時對於新技術進行評估和諮詢，以提. 
        升團隊的技術能力。

7. 系統導入與協助開發
	協助新系統導入計畫的制訂與實施，確保系統與現有架構的兼容性。
	與開發團隊合作，進行系統的客製化開發，滿足特定需求。

8. 智能化設備引進與導入
        與外部技術廠商合作，評估並選擇符合機構需求的智能設備。
        協助智能化系統的導入和設置，確保新技術順利應用於長照機構的日常管理。

9.節能系統管理與控制
       管理和監控養老院內的節能系統，持續優化系統的能源使用效率。
       進行節能設備的監測與故障排除，確保設備運行順暢並達到節能效果。
       分析能耗數據，提供節能優化建議。

10. 團隊合作與溝通
          與 IT 團隊成員合作，共同解決問題，並與其他部門溝通協調","教育訓練、婚喪補助金，績效獎金，彈性輪休
◆ 獎金/禮品類
	1.年終獎金
	2.三節獎金/禮品
◆ 保險類
	1.勞保
	2.健保
	3.員工團保
	4.職災保險
	◆ 制度類
	1.員工制服(直接照顧人員)
	2.介紹獎金
	3.績效獎金
	4.完整的教育訓練
	5.順暢的升遷管道
◆ 設備類
	1.員工餐廳
◆ 請 / 休假制度
	1.週休二日
	2.特休/年假
	3.陪產假
	4.家庭照顧假
	5.女性同仁生理假
	6.女性同仁育嬰假
◆ 其他
	1.員工停車位
	2.健康檢查
	 補助類
	1.結婚禮金
	2.醫療慰問金
	3.喪葬津貼
       

	
	
	
"
醫療系統軟體客服,醫通藥聯_醫通科技股份有限公司,待遇面議,"■主要職務與條件: 
1.醫療軟、硬體及其他系統周邊裝置的安裝及維修。(新客戶需外出至客端執行教育訓練)
2.電話或外出至客戶端排除軟體問題。
3.電話或外出至客戶端教導醫療軟體的使用以及提供醫療軟體的相關諮詢。
4.熟悉健保給付相關的法規。
5.協助系統測試。
6.抗壓性高,喜歡與人互動.溝通 ※ 開朗、正面思考、樂於與客戶、同仁溝通、喜歡分享。
7.具業務能力者更佳。
8.需有汽(機)車駕照。
9.專業知識可入職後訓練,有電腦基本維修概念尤佳。 
#本公司非竹科半導體相關廠商",以勞基法的相關規定為主要參考原則.
硬體資訊工程師(可年後上班),天祥醫院(籌備處),"月薪33,000~42,000元","1.電腦周邊及印表機故障排除
2.資訊硬體及相關系統週邊裝置安裝、維修及監控
3.資訊設備效能監控及系統維運
4.網路架設及管理作業
5.院內同仁資訊教育訓練及即時線上問題服務
6.主管交辦事項","本院近年來不斷為提升員工薪資及福利而努力，希望達到全方位關懷員工及留任優秀人才之目的，我們的福利制度有：
※休假制度：享有比照人事行政局給假天數之最優休假制度。
※三節獎金：包括中秋禮金、端午禮金、年終獎金之發放。
※員工生日禮券。
※護理人員每年發予一雙護士鞋。
※員工停車位或停車補助。
※員工婚喪喜慶禮金。
※員工旅遊活動、社團活動辦理。
※健保、勞保、員工及眷屬喪葬補助、員工撫恤。
※員工在職教育訓練、員工國內外進修補助。
※員工冬夏季制服。
※員工及家屬醫療優待。
※年終聚餐與摸彩。
※特約廠商消費優惠。 

天成醫療事業體系為全體員工打造一個安定、關懷、具前景、富挑戰性之工作環境，歡迎具潛力之精英加入我們的行列。 "
總管理處_行銷廣告數據分析師,諾貝爾視光科技股份有限公司,"月薪40,000~60,000元","1.Meta、Google等數位平台廣告成效分析及追蹤。
2.GA成效追蹤管理及報表製作。
3.建立數位平台廣告成效數據指標，制定各項成效kpi。
4.季度/年度廣告預算分配建議。","◆ 獎金類 ◆
   1.管理中心>年終獎金
   2.診所>團體獎金、個人業績獎金、諮詢獎金、刀房獎金
   3.員工年資特別獎金

◆ 保險類 ◆
   1.勞工保險
   2.健康保險
   3.員工意外團保

◆ 福利類 ◆
   1.年度國內旅遊
   2.尾牙/春酒及摸彩
   3.端午、中秋禮品/禮金
   4.員工眼科手術、醫美療程、紋繡項目、產品「員工優惠價」
   5.員工親友眼科手術、醫美療程、紋繡項目「親友優惠價」
   6.員工制服
   7.住院慰問金
   8.不定期員工聚餐
   9.總公司>生日禮金 
   10.診所>生日聚餐補助
   11.診所>護士鞋補助
   12.診所>執業登記/公會補助
   13.診所>店經理治裝費補助"
【國泰集團】資訊維運工程師,國泰健康管理顧問股份有限公司,待遇面議,"1.使用者問題諮詢服務及技術支援。
2.端點電腦系統及應用軟體安裝及設定。
3.AD維運、MAIL服務器、檔案伺服器管理與權限設定 。
4.資訊硬體、IOT設備安裝及維護。
5.資訊資產管理與採購。
6.防毒、防駭系統端點管理。","【 開放、友善的職場文化 】
．我們鼓勵擁抱挑戰、One Team團隊協作、共創績效的文化，不被自己的角色侷限，支 持主動提出任何能幫助現況更好的建議，讓您發揮自身影響力。
．我們鼓勵並建立暢通的溝通文化：每年度高階主管與基層同仁座談聊聊、內部建立溝通信箱、員工滿意度調查與進度回報，一起讓工作環境更好！
．定期執行年度員工關係關懷活動．不定期部門聚餐活動、年度尾牙或春酒不可少！

【國泰健康管理，當你的健康守門員】
．涵蓋直系眷屬的團體保險方案（包含定期壽險、住院醫療、失能險等）由公司全額負擔保費，直系眷屬也納入理賠範圍，照顧你，也守護你的家人！
．在職員工每年提供一次免費企業高端健檢檢查健康。
．諮商補助（EAP 職涯/心理/健康/法律/財務諮詢）。
．我們營養師、健管師、護理師就是你的同事！就在你的身旁！
．集團健康活動：每季集團健走日、全集團步步攻億走、公司運動會、員工運動社團等活動。

【 獎金多元、特約優惠 ，幸福感爆棚】
． 年終獎金、 集團資深員工獎勵金。
． 伙食津貼 $4,500/季、端午/ 中秋禮金各$3,000、生日禮金$2,500、年度護士節禮券、員工自選福利禮券也還有各類技術人員證照津貼等。
． 下一段人生祝福：結婚補助$11,000、結婚禮金 $4,600、生育補助$11,000….等。
． 人才推薦、口碑推廣（親友透過你選擇公司服務），你都能享有各類業務推廣獎金！

【舒適的工作環境，職能職涯不卡卡】
． 舒適的自助交誼廳， 研磨咖啡機！讓你不用再跑便利商店醒醒腦！
． 提供冰箱、微波爐、蒸飯箱等，自備便當不用再煩惱！
． 完整的內外部教育訓練、線上學習平台 Hahow，讓你在工作中也能有機會技能數點滿！
． 三大語言學習平台（巨匠、TutotrABC、科見等）學費優惠。
． 多元職場能力發展、集團內部轉調機會。

【 享優於勞基法規之假別】
．全薪的健檢假：任職滿一年以上的正職全職同仁，每年可靈活安排健康檢查時間， 且不影響特休時數，讓員工能夠定期檢視健康狀況。
．健康守護保障：每位同仁每年可享有5天全薪病假的保障，確保員工能專心修養。

【國泰一家人 集團滿貫獨享優惠】
． 國泰健管（健康檢查/產後住房/醫美療程優惠/健促營養品等）員工及眷屬優惠。
． 杏保醫網（社區診所）掛號費、自費疫苗、復健等優惠。
． 國泰商旅（和逸、慕軒、國泰萬怡等）住宿、餐旅優惠專案。
． 國泰醫院掛號費、住院優免（含眷屬）。
． 國泰霖園集團小樹購，享有員工優惠價格。
． 其他集團特約廠商優惠（飲品、餐點折扣優惠）。
． 台灣大哥大企業客戶、筆電、螢幕、3C 產品專屬優惠：員工及眷屬皆可適用！

備註：各項福利制度適用公司保有變更權力。"
