Job Name,Company Name,Salary,Description,Welfare,年終獎金,業績獎勵金,績效獎金,考核獎金,久任獎金,三節禮金,生日禮金,結婚禮金,生育禮金,奠儀,春節值班禮金,旅遊代金,提案獎金,勞工保險,全民健康保險,團體保險,勞工退休金提撥,新進人員職前訓練,在職教育訓練,在職進修,員工培訓,論文獎勵金,教學費用補助,週休二日,特休假,產檢假,家庭照顧假,妊娠假,哺乳假,生理假,天然災害假,事假,病假,公假,婚假,產假,公傷假,喪假,留職停薪,育嬰留職停薪,原住民假,陪產檢及陪產假,員工及眷屬就醫優待,退休員工就醫優待,員工定期健康檢查,新進人員體檢優惠,員工健康檢查優惠,員工宿舍優惠,員工餐廳用餐優惠,立體停車場停車費優惠,機車停車場,托兒服務,員工制服,薪資轉帳存戶優惠,員工宿舍,員工餐廳,圖書館,哺乳室,籃球場,醫療服務專車,聖堂,桌球室,立體停車場,商店街,空中花園,國際會議廳,健康園區,有氧舞蹈教室,韻律舞蹈教室,社團活動,特約商店,休閒藝文資訊,員工住院關懷,聖誕跨年晚會,資深員工表揚,多元健康促進活動,多元主題課程,祈禱會,支持團體
程式設計師(資訊部),天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院,"月薪39,600~55,600元","1.以「設計Window平台程式」與「Web網頁應用系統」為主或【熟IBM AS/400 RPG程式開發】
2.能力需求：程式設計(如C#、Delphi 尤佳)、熟資料庫SQL語法
註：工作待遇欄位月薪為大學以上薪資且通過考核","◆獎金禮金類 
1.年終獎金 2.業績獎勵金 3.績效獎金 4.考核獎金 5.久任獎金 6.三節禮金 7.生日禮金 8.結婚禮金 9.生育禮金 10.奠儀 11.春節值班禮金 12.旅遊代金 13.提案獎金
◆保險類 
1.勞工保險 2.全民健康保險 3.團體保險(職災險、傷害保險、癌症醫療等商業保險) 4.勞工退休金提撥 
◆學術獎勵 
1.新進人員職前訓練 2.在職教育訓練 3.在職進修 4.員工培訓 5.論文獎勵金 6.教學費用補助 
◆請/休假 
1.週休二日 2.特休假 3.產檢假 4.家庭照顧假5.妊娠假 6.哺乳假 7.生理假  8.天然災害假 9.事假 10.病假 11.公假 12.婚假 13.產假 14.公傷假 15.喪假 16.留職停薪 17.育嬰留職停薪 18.原住民假 19. 陪產檢及陪產假
◆補助類 
1.員工及眷屬就醫優待 2.退休員工就醫優待 3.員工定期健康檢查(免費) 4.新進人員體檢優惠 5.員工健康檢查優惠 6.員工宿舍優惠 7.員工餐廳用餐優惠 8.立體停車場停車費優惠 9.機車停車場(免費)  10.托兒服務(托兒所、幼稚園特約) 11.員工制服 12.薪資轉帳存戶優惠 
◆環境設備 
1.員工宿舍 2.員工餐廳 3.圖書館 4.哺乳室 5.籃球場 6.醫療服務專車 7.聖堂 8.桌球室 9.立體停車場 10.商店街 11.空中花園 12.國際會議廳 13.健康園區(樂活享瘦室) 14.有氧舞蹈教室 15.韻律舞蹈教室
◆休閒/育樂/關懷 
1.社團活動 2.特約商店 3.休閒藝文資訊 4.員工住院關懷 5.聖誕跨年晚會 6.資深員工表揚 7.多元健康促進活動 8.多元主題課程 9.祈禱會 10.支持團體",有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
商業智慧(BI) 數據分析師(資訊部),天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院,"月薪39,600~55,600元","1.醫療數據的清理、整合和分析並以「Tableau或Power BI設計視覺化圖表」及維護交互式儀表板 (Dashboards)
2.能力需求：熟資料庫SQL語法、BI數據分析工具(如Tableau或Power BI)
3.具以下技能尤佳：
   (1)統計工具軟體實務應用經驗
   (2)具資料處理及數據分析實務經驗
註：工作待遇欄位月薪為大學以上薪資且通過考核
","◆獎金禮金類 
1.年終獎金 2.業績獎勵金 3.績效獎金 4.考核獎金 5.久任獎金 6.三節禮金 7.生日禮金 8.結婚禮金 9.生育禮金 10.奠儀 11.春節值班禮金 12.旅遊代金 13.提案獎金
◆保險類 
1.勞工保險 2.全民健康保險 3.團體保險(職災險、傷害保險、癌症醫療等商業保險) 4.勞工退休金提撥 
◆學術獎勵 
1.新進人員職前訓練 2.在職教育訓練 3.在職進修 4.員工培訓 5.論文獎勵金 6.教學費用補助 
◆請/休假 
1.週休二日 2.特休假 3.產檢假 4.家庭照顧假5.妊娠假 6.哺乳假 7.生理假  8.天然災害假 9.事假 10.病假 11.公假 12.婚假 13.產假 14.公傷假 15.喪假 16.留職停薪 17.育嬰留職停薪 18.原住民假 19. 陪產檢及陪產假
◆補助類 
1.員工及眷屬就醫優待 2.退休員工就醫優待 3.員工定期健康檢查(免費) 4.新進人員體檢優惠 5.員工健康檢查優惠 6.員工宿舍優惠 7.員工餐廳用餐優惠 8.立體停車場停車費優惠 9.機車停車場(免費)  10.托兒服務(托兒所、幼稚園特約) 11.員工制服 12.薪資轉帳存戶優惠 
◆環境設備 
1.員工宿舍 2.員工餐廳 3.圖書館 4.哺乳室 5.籃球場 6.醫療服務專車 7.聖堂 8.桌球室 9.立體停車場 10.商店街 11.空中花園 12.國際會議廳 13.健康園區(樂活享瘦室) 14.有氧舞蹈教室 15.韻律舞蹈教室
◆休閒/育樂/關懷 
1.社團活動 2.特約商店 3.休閒藝文資訊 4.員工住院關懷 5.聖誕跨年晚會 6.資深員工表揚 7.多元健康促進活動 8.多元主題課程 9.祈禱會 10.支持團體",有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有,有
資訊室資訊管理師,戴德森醫療財團法人嘉義基督教醫院,"月薪30,470~40,200元","1.對程式設計有興趣，具備學習熱忱者。
2.資訊相關科系畢業或具程式開發工作經驗者。
3.熟悉.NET 或 C# MVC/MVVM 開發架構開發經驗者尤佳。

技術經驗豐富者另議。
","★獎金｜依醫院規範辦理。
★其他補助｜生日禮卷(依福委會規範辦理)。
★休假｜依勞基法規定。
★退休金｜依勞工退休金條例規定。
★伙食｜員工餐廳用餐優待。
★員工旅遊｜國內外旅遊經費補助。
★住宿｜對於需輪班而有住宿需求之員工，提供設施完善之宿舍 ( 需負擔水電費用) 。
★幼兒園｜設置幼兒園及托嬰中心，免除員工奔波接送幼兒的困擾與後顧之憂。
★醫療優待｜本院員工及其眷屬至本院就醫可享有醫療優待。
★停車場｜備有員工汽機車停車場。
★商店優惠｜院內福利社、 便利商店、美食街或院外特約商店，購買皆提供員工折扣優待。
★運動設施｜設置室內籃球場、羽球場、桌球室、舞蹈教室以供運動健身。
★社團活動｜本院現有籃球社、羽球社、桌球社、益智社、自然遊藝社、魔術社、熱音社、烏克麗麗社、舞蹈社、walker社、愛心童玩社、養生太極拳社、單車漫遊社，豐富休閒娛樂生活。
",無,無,無,無,無,無,有,無,無,無,無,有,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,有,有,無,有,有,無,無,有,有,無,無,有,無,無,有,無,無,無,無,無,有,,有,有,無,無,無,無,無,無,無,無
大林慈院-智慧醫療創新中心-軟體程式設計師（資訊系統）,佛教慈濟醫療財團法人大林慈濟醫院,待遇面議,"工作內容：
1. 前端程式撰寫
2. 後端和資料庫程式撰寫
3. 其它主管交辦事項","1.生日禮金、年終獎金、中秋、端午節等節慶禮金。
2.同仁婚喪喜慶發結婚禮金及慰問金。
3.設有同仁餐廳供應素食，早餐僅需10元，午、晚餐20元即可享受豐盛健康之美食。
4.勞、健保及團保。
5.就醫優待。
6.院內設有停車位、宿舍、圖書館、幼兒園、同仁子女就讀慈濟教育志業體學雜費減免（經通過考勤正式任用之正職編制者）、同仁旅遊補助、特約商店優待。
本區全部福利項目可能依不同職缺有所不同，實際職缺福利請依面試時與公司面談結果為準",有,,,,,有,有,有,,,,,,有,有,有,,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,有,有,無,無,無,無,無,有,有,有,無,無,無,無,無,有,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無
醫療法人資訊室軟體開發工程師（工作地點：大林慈濟醫院）,佛教慈濟醫療財團法人大林慈濟醫院,"月薪37,000元以上","◆佛教慈濟醫療財團法人資訊室軟體開發工程師（工作地點：大林慈濟醫院）
1.大學（含）以上，醫學資訊、資訊科學、資訊管理、資訊工程相關科系畢業。
2.工作經驗不拘，有資訊相關產業背景尤佳。
3.具資料庫、演算法知識及資訊技能:  Java，PHP，Python, Visual Basic.Net,ASP.Net, MSSQL， Oracle，MySQL， Javascript, CSS 。
4.學習能力強， 對程式開發及軟體工程具有熱情，願意嘗試新的技術及架構。
5.具良好的溝通能力，團隊配合度高。
6.依個別資歷、工作表現、職務內容等， 每月提供經驗年資薪、技術津貼、每季提供績效獎金。

 ====================================================
 ※慈濟醫療資訊介紹：
   醫療是系統的主人：恪守正規軟體工程規劃　慈濟醫院達標數位化IT
    https://reurl.cc/o5M6Lv
   我們正在尋找勇於接受技術挑戰、⾃我要求⾼度成⻑的夥伴～
   我們提供最激勵⼈⼼的員⼯福利、培訓和發展計劃，創造⼀個能充分發揮潛⼒的環境， 
   期待追求⾃我挑戰、求新求變的夥伴加入。
   透過「Mentor」導師制、「Coaching」教練制之人才培育制度，推動新人培訓，讓資 
   深 具經驗之人員或主管進行業務指導和經驗傳授，提供新人在入職初期能夠按照前人步 
   驟、循序漸進的適應公司職務與文化，並且可同時增進新舊同事之間的交流、提供除了 
   制式規定之外的支持與關懷協助。
   歡迎有【熱忱】、【追求極致】、【樂於團隊合作】的夥伴⼀同打造先進的醫療資訊！
   我們要成為最頂尖的醫療資訊人才，你準備好作台灣醫療資訊的領頭羊了嗎？
   慈濟醫療資訊竭誠歡迎您的加入～
====================================================
","1.生日禮金、年終獎金、中秋、端午節等節慶禮金。
2.同仁婚喪喜慶發結婚禮金及慰問金。
3.設有同仁餐廳供應素食，早餐僅需10元，午、晚餐20元即可享受豐盛健康之美食。
4.勞、健保及團保。
5.就醫優待。
6.院內設有停車位、宿舍、圖書館、幼兒園、同仁子女就讀慈濟教育志業體學雜費減免（經通過考勤正式任用之正職編制者）、同仁旅遊補助、特約商店優待。
本區全部福利項目可能依不同職缺有所不同，實際職缺福利請依面試時與公司面談結果為準",有,無,無,無,無,有,有,有,無,有,無,有,無,有,有,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,有,有,無,無,有,無,無,有,有,有,無,無,無,無,無,有,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無
醫療法人資訊室系統工程師（工作地點：大林慈濟醫院）,佛教慈濟醫療財團法人大林慈濟醫院,"月薪37,000元以上","◆ 佛教慈濟醫療財團法人資訊室系統工程師(工作地點：大林慈濟醫院)
1.Client端問題判斷與故障排除解決。
2.電腦硬體維修（主機、列表機、周邊設備）。
3.機房管理、網路管理、主機管理、資訊專案管理等。
4.具工作熱忱及改善創新思維、抗壓性及配合度高。
5.具良好的溝通能力，團隊配合度高。
6.依個別資歷、工作表現、職務內容等， 每月提供經驗年資薪、技術津貼、每季提供績效獎金。

====================================================
※慈濟醫療資訊介紹：
   醫療是系統的主人：恪守正規軟體工程規劃　慈濟醫院達標數位化IT
    https://reurl.cc/o5M6Lv
   我們正在尋找勇於接受技術挑戰、⾃我要求⾼度成⻑的夥伴～
   我們提供最激勵⼈⼼的員⼯福利、培訓和發展計劃，創造⼀個能充分發揮潛⼒的環境， 
   期待追求⾃我挑戰、求新求變的夥伴加入。
   透過「Mentor」導師制、「Coaching」教練制之人才培育制度，推動新人培訓，讓資 
   深 具經驗之人員或主管進行業務指導和經驗傳授，提供新人在入職初期能夠按照前人步 
   驟、循序漸進的適應公司職務與文化，並且可同時增進新舊同事之間的交流、提供除了 
   制式規定之外的支持與關懷協助。
   歡迎有【熱忱】、【追求極致】、【樂於團隊合作】的夥伴⼀同打造先進的醫療資訊！
   我們要成為最頂尖的醫療資訊人才，你準備好作台灣醫療資訊的領頭羊了嗎？
   慈濟醫療資訊竭誠歡迎您的加入～
====================================================

","1.生日禮金、年終獎金、中秋、端午節等節慶禮金。
2.同仁婚喪喜慶發結婚禮金及慰問金。
3.設有同仁餐廳供應素食，早餐僅需10元，午、晚餐20元即可享受豐盛健康之美食。
4.勞、健保及團保。
5.就醫優待。
6.院內設有停車位、宿舍、圖書館、幼兒園、同仁子女就讀慈濟教育志業體學雜費減免（經通過考勤正式任用之正職編制者）、同仁旅遊補助、特約商店優待。
本區全部福利項目可能依不同職缺有所不同，實際職缺福利請依面試時與公司面談結果為準",有,無,無,無,無,有,有,有,無,有,無,無,無,有,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,有,有,無,無,無,無,有,有,有,無,無,無,無,無,有,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無
資訊室_系統工程師,郭綜合醫院,"月薪36,000~45,000元","1.伺服主機、電腦及周邊設備的增購、安裝、維護。
2.網路設備相關故障排除、架設與規劃。
3.主管交辦。",本院制度健全，除勞、健保外，還有婚喪禮金、眷屬就醫優待、子女教育獎勵、社團活動等。,無,無,無,無,無,無,無,有,無,有,無,無,無,有,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,無,無,無,無,無,無,無,無
資訊護理師,天主教若瑟醫療財團法人若瑟醫院,"月薪37,400~44,400元","1.參與護理資訊作業系統需求、規劃彙整分析及相關會議。 
2.協助護理單位資訊作業系統上線推動及進度追蹤、異常處理。 
3.執行護理資訊作業相關庶務性工作，包括制定/修訂作業標準、教育訓練、網頁維護等。 
4.與資訊室及合作廠商之溝通與協調系統開發、軟硬體規劃等相關作業。 
5.協助常規性新人到職訓練、NPGY及在職教育等業務。
6.推展Micorosoft O365各類護理作業之建立與改善，同時應用Power BI 建立護理數據資料處理與分析。 
7.全人全社區照顧計畫個管代理人。
8.其他主管交辦事項及相關臨床業務。 

",定期免費健康檢查；中秋、端午、聖誕、勞動等節日發放禮券或禮品；生日禮券；結婚禮金；員工生產禮品；住院慰問禮品；員工員眷喪葬慰問金；國內外旅遊補助；年度感恩餐會；資深員工致贈禮金、金飾、國內外旅遊補助金；員工團體保險；托兒補助；員工及眷屬（父母、子女、配偶）醫療就醫優待；提供員工宿舍、員工餐廳、圖書館、室內員工娛樂中心（有桌球、健身器材供運動健身）；社團補助。,無,無,無,無,無,有,有,有,無,有,無,無,無,無,無,有,無,無,無,無,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,有,無,無,無,無,無,無,有,無,無,有,有,有,無,無,無,無,有,無,無,無,無,無,無,無,有,無,無,有,無,有,無,無,無,無
資訊維護工程師(路竹),秀傳醫療體系_秀傳醫療社團法人秀傳紀念醫院,"月薪30,000~35,000元","1.電腦基本維修、安裝、故障排除
2.作業系統基本安裝與操作
3.資訊相關週邊設備檢修
4.資訊設備環境設定
5.電話接聽並進行遠端連線排除電腦問題
6.院區各項活動會場資訊相關需求環境安裝架設
7.長官臨時交辦事項處理
8.夜間值班ON CALL
","1.醫療福利: 
	員工及員工之配偶、父母、祖父母、子女、兄弟姐妹、配偶之父母皆享有就醫折扣。
	每年員工免費健康檢查，員眷高檢套餐優惠。 
2.婚喪節慶福利:
	三節獎金：端午、中秋、年終獎金 。
	結婚及生產禮金及禮品、生日禮卷、喪葬補助、住院慰問金及禮品。
3.活動福利:
	每年員工旅遊及聚餐補助、各類康樂社團補助。 
	各晚會及活動：迎新會、護師節晚會、中秋節及忘年晚會、親子家庭日活動、院慶活動等。
	員工及子女獎學金。
4. 保險福利：享有勞健保、勞退、員工免費團體意外保險(100萬意外險、14萬壽
險、6萬重大疾病險)。
5.其他福利: 
	員工24小時愛書人俱樂部：享受機場貴賓室的頂級服務，早餐、上下午茶、宵夜免費，並設有按摩椅及休息室。
	免費健身中心。
	伙食補助: 午晚餐餐費補助。
	提供住宿、員工停車場、制服及鞋子、交通車服務。
	設有托嬰中心。
	醫院7-11、全家、義美、85度C、藥妝店等院內商店9折。
	 特約商店優惠。
※以上相關福利設施依各院區設置為主※
",有,無,無,無,無,有,有,有,有,無,無,無,無,有,有,有,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,有,無,有,無,無,無,無,有,有,無,有,有,無,無,無,無,無,無,有,有,無,無,無,無,無,有,有,無,無,無,無,無,無,無,無
資訊維護工程師(彰濱),秀傳醫療體系_秀傳醫療社團法人秀傳紀念醫院,"月薪28,590~35,000元","1.電腦基本維修、安裝、故障排除
2.作業系統基本安裝與操作
3.資訊相關週邊設備檢修
4.資訊設備環境設定
5.電話接聽並進行遠端連線排除電腦問題
6.院區各項活動會場資訊相關需求環境安裝架設
7.長官臨時交辦事項處理
8.夜間值班ON CALL
","1.醫療福利: 
	員工及員工之配偶、父母、祖父母、子女、兄弟姐妹、配偶之父母皆享有就醫折扣。
	每年員工免費健康檢查，員眷高檢套餐優惠。 
2.婚喪節慶福利:
	三節獎金：端午、中秋、年終獎金 。
	結婚及生產禮金及禮品、生日禮卷、喪葬補助、住院慰問金及禮品。
3.活動福利:
	每年員工旅遊及聚餐補助、各類康樂社團補助。 
	各晚會及活動：迎新會、護師節晚會、中秋節及忘年晚會、親子家庭日活動、院慶活動等。
	員工及子女獎學金。
4. 保險福利：享有勞健保、勞退、員工免費團體意外保險(100萬意外險、14萬壽
險、6萬重大疾病險)。
5.其他福利: 
	員工24小時愛書人俱樂部：享受機場貴賓室的頂級服務，早餐、上下午茶、宵夜免費，並設有按摩椅及休息室。
	免費健身中心。
	伙食補助: 午晚餐餐費補助。
	提供住宿、員工停車場、制服及鞋子、交通車服務。
	設有托嬰中心。
	醫院7-11、全家、義美、85度C、藥妝店等院內商店9折。
	 特約商店優惠。
※以上相關福利設施依各院區設置為主※
",有,無,無,無,無,有,有,有,有,有,無,無,無,有,有,有,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,無,有,無,有,無,有,有,有,無,無,有,有,無,有,有,無,無,無,無,無,無,有,無,無,無,無,無,無,有,有,無,有,有,無,無,無,無,無
